zid,address,zipcode,alat,alon,valuation,value_change,value_range_high,value_range_low,sqft,lot_sqft,year_built,last_sold_date,last_sold_price
29495396,3205 Kittyhawk Cove,78745,30.201707,-97.830931,296878.0,-2763,311722,279065,1252,8873,1981.0,,
,14530 1/2 North MoPac Expressway,78728,,,,,,,,,,,
,8657 Coulver Road,78747,,,,,,,,,,,
,137 Pleasant Valley Lane,78616,,,,,,,,,,,
112746891,20009 Wearyall Hill Lane,78660,30.465172,-97.569543,361882.0,3220,379976,343788,3102,6874,2011.0,05/28/2014,267000
,13237 Three Island Road,78617,,,,,,,,,,,
,10214 Bilbrook Place,78748,,,,,,,,,,,
,14000 Murfin Road,78734,,,,,,,,,,,
29515140,510 Kingfisher Creek Drive,78748,30.149907,-97.813348,354237.0,859,371949,336525,2409,22747,1988.0,,
29383797,16804 Decker Creek Drive,78653,30.24751,-97.552628,333767.0,7100,363806,310403,2436,109248,1996.0,,
2093422390,1307 South Lamar Boulevard,78704,30.239009,-97.787998,,,,,727,,,,
83824755,2305 Bluebonnet Lane,78704,30.247956,-97.776116,1228642.0,-35888,1462084,1105778,4684,12632,1994.0,,
29547766,12901 Stanzel Drive,78729,30.44959,-97.766552,313267.0,1935,328930,297604,2176,,1987.0,,
,1245 Dunlap Road South,78725,,,,,,,,,,,
64817637,18616 Double Canyon Drive,78645,30.478435,-97.933097,204077.0,623,255096,181629,1320,32234,1984.0,,
29332184,1315 Norwalk Lane,78703,30.28901,-97.771691,7044529.0,3887,11271246,4578944,683,22781,1963.0,,
2109656895,18801 Reed Parks Road,78645,30.468557,-97.94323,,,,,,404236,,,
29364612,14732 Hornsby Hill Road,78734,30.403241,-97.910216,,,,,5866,448668,2015.0,,
,13499 Paisano Trail,78737,,,,,,,,,,,
,13625 RM 2769,78726,,,,,,,,,,,
,8600 Ann Showers Drive,78621,,,,,,,,,,,
2130647938,4100 Burch Drive,78617,30.191338,-97.604503,215551.0,14172,265128,170285,,,2000.0,,
144352681,7013 Appaloosa Court,78610,30.062168,-97.716454,157496.0,2520,173246,141746,1400,40441,1996.0,,
28595382,622 Oakwood Drive,78610,30.115525,-97.878725,279936.0,6405,327525,251942,1416,43560,1978.0,,
,10100 Crumley Ranch Road,78620,,,,,,,,,,,
,197 Pecos Street,78612,,,,,,,,,,,
29339457,413 Beardsley Lane,78746,30.310636,-97.852507,901621.0,7480,1045880,766378,3665,47262,1999.0,,
63228691,9912 Buffalo Lake,78748,30.15606,-97.789064,286969.0,6616,301317,272621,1708,6011,1970.0,,
29351929,209 Flamingo Drive,78734,30.361077,-97.945885,444078.0,2756,466282,421874,2572,20255,2002.0,,
29383678,7504 Shelton Road,78725,30.261632,-97.664542,283665.0,-1478,317705,249625,1192,82328,1954.0,,
,1220 Farm-to-Market Road 1626,78610,,,,,,,,,,,
145657137,3809 Valley View Road,78704,30.233828,-97.782623,,,,,,71438,,,
29348925,39 Muirfield Greens Lane,78738,30.352831,-97.990723,258884.0,1192,271828,235584,1374,6499,1998.0,,
,4109 RM 2222,78731,,,,,,,,,,,
,11423 Maha Loop Road,78719,,,,,,,,,,,
29516636,12743 Burson Drive,78652,30.139533,-97.845092,316923.0,-571,332769,297908,1950,33106,1974.0,,
,12112 Laws Road,78610,,,,,,,,,,,
125156961,15713 Schmidt Lane,78653,30.390277,-97.517193,212101.0,13439,222706,199375,1111,67126,2010.0,,
29501236,7205 Shadywood Drive,78745,30.189899,-97.78746,298253.0,-10635,316148,277375,1312,10245,1973.0,,
29329710,16614 Hamilton Pool Road,78620,30.291762,-98.02308,479629.0,18006,522796,431666,1400,199940,1975.0,,
58297453,728 Barton Creek Boulevard,78735,30.299686,-97.847555,2116714.0,49743,2370720,1905043,7669,98010,1999.0,,
145544609,11637 Trails End Road,78641,30.492038,-97.894898,434311.0,8558,469056,382194,1600,747250,2000.0,06/13/2017,195500
144351962,16215 Jacobson Road,78617,30.119488,-97.599527,459581.0,18234,551497,353877,1927,1306800,1995.0,10/16/1997,20000
29474398,6907 Midwood Parkway,78736,30.250764,-97.909675,573015.0,-8070,618856,538634,3989,43560,1991.0,,
29361722,13504 Montview Drive,78732,30.381967,-97.905664,435785.0,1155,475006,409638,2238,24829,1970.0,,
94642969,19801 Drifting Meadows Drive,78660,30.476587,-97.58486,240533.0,4001,252560,226101,1677,7593,2009.0,,
29338429,3103 Hayden Bend,78738,30.306015,-97.917583,986411.0,14538,1045596,868042,4380,50399,1997.0,,
64690315,8910 Roadrunner View Road,78653,30.283489,-97.505798,589221.0,-9935,659928,506730,4242,353707,1993.0,,
29341649,1635 Resaca Boulevard,78738,30.322296,-97.913704,830269.0,-39199,871782,780453,4215,20865,2000.0,,
,7190 Burleson Manor Road,78653,,,,,,,,,,,
83823236,7524 Elroy Road,78617,30.147327,-97.633662,234730.0,8976,272287,199521,2200,43560,1935.0,,
,5899 Mc Neil Drive,78729,,,,,,,,,,,
241929803,13713 Overland Pass,78738,30.292395,-97.970352,1651158.0,-110874,2196040,1353950,5234,386813,2016.0,,
70352244,3600 Pearce Road,78730,30.343961,-97.824038,,,,,,55509,,,
29362251,406 Lakeshore Circle,78645,30.38616,-98.005777,511109.0,-3796,567331,485554,2731,53217,1999.0,,
2094350077,7619 Rialto Boulevard,78735,30.250009,-97.85891,,,,,660,,2016.0,,
,1120 Terjo Lane,78732,,,,,,,,,,,
,9543 Ranch to Market Road 967,78610,,,,,,,,,,,
,1373 Garden Path,78664,,,,,,,,,,,
,12205 Trails End Road,78641,,,,,,,,,,,
,11411 Schmidt Lane,78653,,,,,,,,,,,
29598608,13501 Albania Way,78729,30.459192,-97.75625,272611.0,-14000,288968,250802,1632,6708,1996.0,,
,1176 Wilderness Path,78665,,,,,,,,,,,
29422030,702 Burnet Street,78653,30.345951,-97.555124,152855.0,440,305710,48914,1002,12850,1945.0,,
58307483,13501 Lathe Cove,78727,30.425079,-97.680833,365259.0,-2109,383522,336038,2173,11500,2001.0,,
,1349 Old Lockhart Road,78644,,,,,,,,,,,
28595471,1168 Live Oak Loop,78610,30.110549,-97.911765,567822.0,442,607570,516718,3044,175546,1980.0,07/01/2014,
29332777,6206 Lost Creek Circle,78746,30.285381,-97.837858,591672.0,13109,644922,497004,1986,24720,1983.0,,
,8990 Old Bee Cave Road,78735,,,,,,,,,,,
29326498,301 Vale Street,78746,30.272501,-97.77841,1025210.0,-3385,1076470,943193,1673,17511,1954.0,,
89551136,13521 Coleto Creek Trail,78732,30.372849,-97.909645,930530.0,-4666,1014278,846782,4970,22172,2008.0,07/27/2015,
29389069,21959 Silvia Drive,78621,30.26646,-97.472999,137203.0,-1131,157783,111134,798,55495,1979.0,,
58299920,5808 Brittlyns Court,78730,30.3849,-97.851766,584418.0,8151,637016,514288,3440,11957,2001.0,,
,2547 Chowan Way,78681,,,,,,,,,,,
,16818 Forest Cove,78734,,,,,,,,,,,
,601 West Ben White Boulevard,78704,,,,,,,,,,,
,7340 I 35 Frontage Road,78745,,,,,,,,,,,
83819094,1616 Lakecliff Hills Lane,78732,30.349716,-97.888637,1154039.0,3842,1246362,1096337,4747,23522,2007.0,08/02/2018,1145000
,10264 Darden Hill Road,78619,,,,,,,,,,,
29511386,10330 Old Manchaca Road,78748,30.16934,-97.832103,373759.0,2908,392447,355071,2113,134034,1986.0,,
,12001 Vista Parke Drive,78726,,,,,,,,,,,
29454684,16206 Viki Lynn Place,78660,30.457514,-97.658058,252943.0,-1607,265590,240296,2287,8712,1994.0,08/05/2014,179900
,584 Whitetail Ridge Road,78620,,,,,,,,,,,
,13940 Lone Rider Trail,78738,,,,,,,,,,,
29345590,3513 Lakeland Drive,78731,30.339681,-97.760727,572500.0,1936,606850,543875,2127,11051,1954.0,,
2091802584,2115 South Lamar Boulevard,78704,30.240509,-97.78571,,,,,408,,,,
29396425,1707 Schieffer Avenue,78722,30.295074,-97.71071,484102.0,3573,508307,459897,1712,10759,1951.0,,
144207508,5511 Hiline Road,78734,30.421991,-97.932632,,,,,,15438,,,
29496397,5531 Hitcher Bend,78749,30.208046,-97.86777,388832.0,-435,408274,369390,1842,8215,1999.0,,
80092245,12105 Musket Rim Street,78736,30.286765,-97.935886,2488122.0,-88164,2637409,2264191,6521,59294,2011.0,,
,19023 Whispering Hollow Drive,78645,,,,,,,,,,,
,4730 North Lamar Boulevard,78756,,,,,,,,,,,
,5231 Concho Creek Bend,75735,,,,,,,,,,,
58297580,1360 Patterson Road,78733,30.304276,-97.879462,1233012.0,26254,1319323,1122041,4200,207912,1998.0,,
58315326,9308 Zyle Road,78737,30.206915,-97.935692,637956.0,8099,688992,580540,3733,71438,2001.0,,
70348966,18605 Sandy Bottom Drive,78660,30.450462,-97.56651,246365.0,-140,258683,234047,1819,6978,2006.0,,
64859934,12422 Fitzhugh Road,78736,30.234181,-97.985868,557454.0,-6387,629923,496134,1792,703276,1981.0,,
,7819 1/2 East Ben White Boulevard,78742,,,,,,,,,,,
,5537 Loyola Lane,78723,,,,,,,,,,,
,18398 Hickory Bark Court,78660,,,,,,,,,,,
,1582 Williamson Road,78640,,,,,,,,,,,
,8810 FM 812,78719,,,,,,,,,,,
,4201 Norwood Lane,78617,,,,,,,,,,,
29375553,6406 Avery Island Avenue,78727,30.439526,-97.751853,283089.0,-528,297243,268935,1506,7535,1984.0,,
,365 Bramble Drive,78613,,,,,,,,,,,
,699 Bufflehead Lane,78613,,,,,,,,,,,
,2500 Montopolis Drive,78741,,,,,,,,,,,
,19765 Eyerley Road,78653,,,,,,,,,,,
,132 Valerie Lane,78616,,,,,,,,,,,
,299 South Lynnwood Trail,78613,,,,,,,,,,,
58298014,620 Brandon Way,78733,30.324508,-97.858454,1934231.0,30432,2146996,1682781,7555,43560,2002.0,07/06/2018,
,4800 Convict Hill Road,78749,,,,,,,,,,,
29366908,14513 Ridgetop Terrace,78732,30.417907,-97.900995,665416.0,-30107,758574,525679,1440,16039,1970.0,,
29492277,7846 El Dorado Drive,78737,30.213789,-97.90571,421255.0,9423,442318,400192,2018,29743,1984.0,05/27/2003,170000
29350483,1908 Lakeway Boulevard,78734,30.357175,-97.971636,424350.0,-2004,445567,386158,2525,13939,1980.0,09/24/2015,
29411913,5702 Avenue C,78752,30.323344,-97.72132,359191.0,1935,384334,319680,812,8133,1951.0,,
,19213 Camino Real,78616,,,,,,,,,,,
,900 Koerner Lane,78721,,,,,,,,,,,
29503852,8600 Oak Ledge Drive,78748,30.18903,-97.823385,308143.0,1679,348202,286573,1727,20560,1971.0,07/20/2018,
,3309 TX 71,78617,,,,,,,,,,,
,10138 Bilbrook Place,78748,,,,,,,,,,,
64837512,6504 Boyce Lane,78653,30.363711,-97.607523,,,,,,654707,1910.0,,
70337014,4008 Peak Lookout Drive,78738,30.32692,-97.976872,976924.0,-3170,1045309,859693,3974,54097,2005.0,01/12/2016,884880
,8014 Woodbay Parke Drive,78726,,,,,,,,,,,
,71 Private Road 919,78641,,,,,,,,,,,
144177519,1012 Barrie Drive,78734,30.349181,-97.953559,,,,,,19889,,,
,12125 Cameron Road,78653,,,,,,,,,,,
,199 Aberdeen Court,78737,,,,,,,,,,,
,576 Oak Forest Drive,78610,,,,,,,,,,,
,8710 Ann Showers Drive,78621,,,,,,,,,,,
,5703 1/2 Tapadera Trace Lane,78727,,,,,,,,,,,
64619386,12010 Pollyanna Avenue,78753,30.387658,-97.674476,318701.0,2588,334636,302766,2013,15158,2004.0,,
,7205 I 35,78752,,,,,,,,,,,
,352 Heritage Oaks Drive,78612,,,,,,,,,,,
,12236 New Sweden Church Road,78653,,,,,,,,,,,
,12225 Ballerstedt Road,78621,,,,,,,,,,,
29424958,1525 Weyford Drive,78757,30.360551,-97.72074,366778.0,-4940,385117,344771,1066,10271,1960.0,06/14/2016,
29490112,6206 Woodhue Drive,78745,30.206838,-97.794951,269780.0,3531,283269,253593,1370,5715,1981.0,,
83828684,17131 Rocky Ridge Road,78734,30.422799,-97.947022,647885.0,9815,725631,583097,1830,59633,1945.0,,
,7008 Outfitter Drive,787,,,,,,,,,,,
29336364,712 Windsong Trail,78746,30.300878,-97.80622,1276618.0,-31462,1391514,1174489,4152,47263,1997.0,04/01/2010,1400000
,19022 Old Burnet Road,78645,,,,,,,,,,,
,7062 Dee Gabriel Collins Road,78744,,,,,,,,,,,
29476237,10926 Long Branch Drive,78736,30.246245,-97.994167,365621.0,16651,402183,314434,1800,41818,1998.0,,
29446134,13314 Council Bluff Drive,78727,30.436778,-97.715299,554041.0,-7622,653768,509718,3721,71569,1992.0,,
29347624,3635 Turkey Creek Drive,78730,30.351977,-97.842351,766356.0,-6192,850655,705048,3585,66211,1984.0,,
62606597,401 East Parmer Lane,78753,30.399595,-97.65506,217197.0,9382,228057,206337,1245,4704,2006.0,,
,2525 Lonian Cove,78730,,,,,,,,,,,
,8401 Hill Lane,78653,,,,,,,,,,,
,4335 Forest Lake Drive,78617,,,,,,,,,,,
83829346,5108 Emma Browning Avenue,78719,30.177703,-97.670728,,,,,1912,248074,1984.0,,
,10302 Barr Lane,78754,,,,,,,,,,,
,9822 Sprinkle Road,78754,,,,,,,,,,,
,14789 Kimbro West Road,78653,,,,,,,,,,,
64472394,22308 Ann Showers Drive,78621,30.273163,-97.464861,143837.0,-2327,168289,119385,1216,94438,1988.0,,
144991692,11006 Lambert Lane,78719,30.116782,-97.683835,183714.0,170,238828,165343,1428,43560,1992.0,,
29411601,5307 Woodrow Avenue,78757,30.324587,-97.735315,395230.0,-18324,422896,343850,1270,6969,1947.0,07/06/2000,
29515770,10402 La Costa Drive,78747,30.144127,-97.786108,392800.0,-1927,412440,373160,2670,14066,1980.0,,
,1417 Homann Road,78616,,,,,,,,,,,
,16200 Hamilton Pool Road,78738,,,,,,,,,,,
144269765,16871 Albert Voelker Road,78621,30.340737,-97.458975,652577.0,-34841,809195,495959,1400,3892347,2007.0,,
29486087,2509 Cockburn Drive,78745,30.210789,-97.810913,359793.0,-6473,377783,338205,1282,6316,1973.0,08/10/2018,
60058891,17624 Webberville Road,78653,30.322262,-97.531895,149013.0,1084,159444,141562,1140,8163,2002.0,,
120895838,4527 North Lamar Boulevard,78751,30.314695,-97.73635,,,,,221953,74836,2013.0,05/15/2012,3050000
119623104,4534 West Gate Boulevard,78745,30.231793,-97.802361,,,,,8784,51087,1986.0,,
29358805,5212 Valburn Circle,78731,30.373586,-97.775124,732266.0,-6752,776202,681007,3437,13503,1977.0,,
,13101 Harold Green Road,78725,,,,,,,,,,,
83817788,11829 Buckner Road,78726,30.443848,-97.836516,378900.0,10897,435735,341010,1568,54363,1962.0,,
144344859,3621 Caldwell Lane,78617,30.195691,-97.54606,499105.0,3832,613899,474150,3572,43560,1978.0,,
,2652 Goforth Road,78640,,,,,,,,,,,
29468495,3601 Buck Lane,78617,30.195959,-97.53182,152281.0,-1780,172078,126393,1152,43560,1978.0,,
28596623,13225 Madrone Mountain Way,78737,30.178025,-97.95452,444523.0,-11023,480085,413406,2340,83635,1997.0,09/29/1995,28452
125744158,109 Reveille Road,78746,30.282064,-97.806268,,,,,,44662,1979.0,,
,15230 Farm-to-Market Road 973,78653,,,,,,,,,,,
,2404 1/2 Rio Grande Street,78705,,,,,,,,,,,
79981261,8701 Escarpment Boulevard,78749,30.214614,-97.875724,346426.0,-1614,363747,325640,1810,15272,2006.0,09/23/2015,305000
,585 West Oak Drive,78664,,,,,,,,,,,
,15200 Farm-to-Market Road 973,78653,,,,,,,,,,,
29433953,11202 Bending Bough Trail,78758,30.385767,-97.698431,277060.0,-1419,290913,263207,1350,6621,1978.0,05/04/2015,219000
29477057,2704 Sherwood Lane,78704,30.233729,-97.753308,514877.0,3839,561216,489133,1958,7336,1969.0,,
,16500 Hamilton Pool Road,78738,,,,,,,,,,,
144218651,6208 Lantern View Drive,78645,30.443556,-97.927656,,,,,,105524,,,
60337590,2099 Cyclone Ridge Cove,78665,30.528504,-97.647911,252171.0,1391,264780,237041,2512,5995,2002.0,,
80087442,4813 Mondonedo Cove,78736,30.292051,-97.927223,1033661.0,1909,1157700,950968,4741,44431,2006.0,12/27/2017,
29426269,8212 Stillwood Lane,78757,30.365116,-97.732953,423931.0,-2060,445128,402734,1809,7710,1960.0,04/21/2016,
29470622,7600 Elroy Road,78617,30.147026,-97.631481,419864.0,6252,545823,382076,3132,522720,2002.0,07/11/2001,
80127769,10917 Roy Butler Drive,78717,30.504691,-97.761778,606181.0,6211,636490,575872,4339,10237,2006.0,01/28/2016,535000
29552450,16721 Whitebrush Loop,78717,30.506869,-97.738868,213551.0,9255,228500,200738,1217,7364,1980.0,,
,1093 Aspen Drive,78733,,,,,,,,,,,
,16089 Ranch to Market Road 1826,78737,,,,,,,,,,,
29470058,8102 Forbsdale Drive,78747,30.156787,-97.739282,247781.0,-7787,260170,235392,2665,7344,1999.0,,
,14125 Low Water Crossing Road,78734,,,,,,,,,,,
29458463,1420 Huntington Trail,78660,30.498398,-97.59311,310469.0,-2580,325992,291841,2587,22956,1997.0,,
,10709 Trails End Road,78641,,,,,,,,,,,
,6000 FM 1327,78610,,,,,,,,,,,
29468472,3524 Victorine Lane,78617,30.199211,-97.555488,239057.0,18446,258182,224714,1571,49746,2002.0,,
,13032 Shoshoni Trail,78737,,,,,,,,,,,
29340878,7805 Brightman Lane,78733,30.31725,-97.844247,1134018.0,11573,1190719,1077317,3800,78408,1999.0,,
,208 East 16th Street,78701,,,,,,,,,,,
,5712 Farm-to-Market Road 973,78725,,,,,,,,,,,
29546332,1622 Wood Rock Drive,78681,30.530308,-97.705306,275765.0,3020,289553,261977,1955,8493,1989.0,,
,8713 Linden Road,78617,,,,,,,,,,,
29475400,4802 Canyonbend Circle,78735,30.242609,-97.825431,462966.0,946,486114,439818,1891,7736,1973.0,,
,811 Ed Bluestein Boulevard,78721,,,,,,,,,,,
,10612 Metric Boulevard,78727,,,,,,,,,,,
29470493,9004 Thaxton Road,78747,30.14288,-97.731446,352439.0,-1431,391207,324244,2445,364597,1955.0,10/16/2007,190000
29323422,4225 Kachina Drive,78735,30.253881,-97.8367,508744.0,-2228,534181,483307,2537,8276,1997.0,,
29489734,5901 Leisure Run Road,78745,30.20586,-97.783775,280305.0,10102,319548,252275,1332,9100,1970.0,,
70334295,17225 Hamilton Point Circle,78653,30.337511,-97.548414,189042.0,1465,198494,179590,1590,4660,2005.0,,
,14110 Farm-to-Market Road 1100,78653,,,,,,,,,,,
,7765 Lakewood Drive,78750,,,,,,,,,,,
29367094,17200 Whippoorwill Trail,78645,30.414986,-97.952717,433986.0,-5489,455685,403607,2212,23762,1970.0,,
29470666,8210 Linden Loop,78617,30.138021,-97.591722,374681.0,12647,445870,322226,2990,232175,1975.0,,
70323759,3731 Lost Creek Boulevard,78735,30.283111,-97.874432,1377283.0,44175,1515011,1253328,4309,71203,2006.0,,
29420959,1004 Durham Drive,78753,30.347049,-97.688235,293436.0,-3220,311042,278764,1763,8450,1979.0,02/23/2018,
29476218,10948 Long Branch Drive,78736,30.249215,-97.994648,,,,,2326,96703,1981.0,,
,8411 Williamson Road,78640,,,,,,,,,,,
,3465 Valley Pike Road,78613,,,,,,,,,,,
64608252,4905 Blue Bluff Road,78724,30.264796,-97.618423,161856.0,894,187753,134340,1584,43560,1980.0,,
,5707 Navarro Creek Road,78617,,,,,,,,,,,
,5497 Thousand Oaks Drive,78681,,,,,,,,,,,
29331655,1401 Kent Lane,78703,30.28666,-97.76775,1010647.0,47939,1091499,909582,1620,14566,1940.0,,
144352970,13301 Elm Grove Road,78610,30.040433,-97.703507,,,,,,1031936,,,
29409702,5305 Avenue H,78751,30.317086,-97.71893,421911.0,-5109,443007,400815,1096,6157,1947.0,,
,7021 Lanes Lane,78610,,,,,,,,,,,
29394400,1204 East 32nd Street,78722,30.289122,-97.721172,463139.0,-4120,495559,439982,1388,8037,1947.0,,
29427770,9702 North Creek Drive,78753,30.363732,-97.689814,219309.0,-4429,234661,208344,1044,6582,1970.0,,
249889915,7404 Vol Walker Drive,78749,30.221174,-97.860925,344056.0,3911,364699,323413,1654,7327,1996.0,,
70352176,10828 Straw Flower Drive,78733,30.317209,-97.899427,823470.0,-33862,889348,749358,4865,10603,2006.0,,
144203329,5236 Mc Cormick Mountain Drive,78734,30.409355,-97.914463,756533.0,-19270,839752,680880,2082,45864,1974.0,,
64835113,1506 Rockcliff Road,78746,30.339535,-97.787696,3544869.0,3094,4218394,3296728,5059,53823,2005.0,,
,12310 Old Kimbro Road,78653,,,,,,,,,,,
29471423,12818 Von Quintus Road,78719,30.100091,-97.665403,266581.0,6174,282576,250586,2061,43560,1975.0,,
29470991,14938 Swiss Drive,78617,30.127839,-97.61269,146232.0,-724,160855,124297,921,11064,1983.0,,
,4524 Court of Saint James,78730,,,,,,,,,,,
,10495 Becker Lane,78617,,,,,,,,,,,
,1098 County Road 180,78641,,,,,,,,,,,
29578503,9720 Copper Creek Drive,78729,30.458884,-97.787038,266663.0,614,282663,250663,1632,7812,1996.0,,
29358518,5001 Valburn Court,78731,30.376397,-97.769135,648633.0,-389,681065,616201,3045,24785,1998.0,,
83830871,501 Horseback Hollow,78732,30.34784,-97.902445,659058.0,-3392,692011,612924,4313,14374,2006.0,07/27/2018,680000
29517332,13021 Stagecoach Way,78652,30.121172,-97.825914,317443.0,-5958,346013,298396,1969,27355,1977.0,,
29505311,11208 Tracton Lane,78739,30.187178,-97.897759,440872.0,-8726,471733,414420,2874,11530,1994.0,,
,9122 North Madrone Trail,78737,,,,,,,,,,,
,3901 Norwood Lane,78617,,,,,,,,,,,
29375084,10428 Ember Glen Drive,78726,30.437851,-97.829272,398395.0,-179,418315,378475,2427,8172,1994.0,,
,6800 Burleson Road,78741,,,,,,,,,,,
144269782,12605 Ballerstedt Road,78621,30.34122,-97.462435,,,,,,290676,,,
2110071356,1200 West Howard Lane,78660,30.42407,-97.670143,270154.0,590,318782,210720,,,,,
64481900,19000 Blake Manor Road,78653,30.284515,-97.516888,230531.0,352,253584,193646,1792,218236,1999.0,,
,5209 Hudson Bend Road,78734,,,,,,,,,,,
,3499 RM 620,78738,,,,,,,,,,,
,884 Ivean Pearson Road,78645,,,,,,,,,,,
,5305 East Oltorf Street,78741,,,,,,,,,,,
29420100,501 East Boyce Street,78653,30.341432,-97.552859,164879.0,-6302,173123,156635,1064,21222,1945.0,,
,1834 Scofield Ridge Parkway,78727,,,,,,,,,,,
144269762,12347 Ballerstedt Road,78621,30.332778,-97.465889,215315.0,-997,228234,193784,1600,43560,1997.0,,
58265907,8229 Canola Bend,78729,30.451509,-97.764834,422256.0,-2128,451814,396921,3306,,2001.0,,
29335408,1502 Hopi Trail,78703,30.292531,-97.775513,1378777.0,16408,1461504,1268475,3773,6795,1989.0,,
,13119 Fitzhugh Road,78736,,,,,,,,,,,
70324214,1702 Lakeway Boulevard,78734,30.356599,-97.964993,576568.0,-2837,634225,536208,3350,14702,2005.0,,
,9608 Brodie Lane,78749,,,,,,,,,,,
29365484,5252 Mc Cormick Mountain Drive,78734,30.410045,-97.912006,1014061.0,35959,1115467,892374,4082,216406,1993.0,12/28/2009,1600000
29537350,154 Woodland Trail,78641,30.555454,-97.811008,489411.0,-4816,513882,455152,2653,131551,1995.0,,
29326611,4914 Timberline Drive,78746,30.271879,-97.791665,1421887.0,64912,1564076,1251261,4353,34848,1976.0,,
,190 Laredo Drive,78616,,,,,,,,,,,
,5115 Turnersville Road,78610,,,,,,,,,,,
29376351,11005 Centennial Trail,78750,30.442627,-97.818077,505690.0,5332,536031,480406,2901,37732,1980.0,,
94641485,16019 Milo Road,78725,30.223989,-97.559386,696654.0,-31836,1100713,515524,1080,1675710,1977.0,,
29472999,2200 Dickson Drive,78704,30.246083,-97.780588,205205.0,-521,215465,194945,640,1420,1973.0,10/08/2015,260000
29443259,13105 Bourbon Street,78727,30.424519,-97.689879,244073.0,651,256277,231869,1311,8145,1979.0,,
58305438,11800 Gate Way,78727,30.416614,-97.739578,430006.0,-12365,451506,408506,1972,33454,1969.0,11/30/2016,320000
29431114,9715 Mountain Quail Road,78758,30.374134,-97.707227,357075.0,9913,385641,339221,1622,9087,1972.0,,
125805952,7729 Escala Drive,78735,30.267102,-97.863414,,,,,,146057,,,
29342136,4902 Mantle Drive,78746,30.323671,-97.791253,1246790.0,-17984,1346533,1147047,4152,48317,1984.0,,
,2755 Farm-to-Market Road 973,78725,,,,,,,,,,,
,6719 I 35 Frontage Road,78744,,,,,,,,,,,
,8897 Valley Drive,78645,,,,,,,,,,,
29485780,503 Gate Tree Lane,78745,30.209294,-97.779677,302596.0,-9278,320752,284440,1136,6660,1964.0,,
29345266,802 North Commons Ford Road,78733,30.340208,-97.882385,621151.0,-15458,670843,577670,2793,43704,1988.0,,
29407491,6708 Kings Point,78723,30.312132,-97.667879,381725.0,-12400,408446,358821,2119,9108,1966.0,,
70337397,11512 Woodland Hills Trail,78732,30.359272,-97.884474,597652.0,-5241,627535,567769,3949,9980,2005.0,,
,1899 Whispering Oaks Lane,78681,,,,,,,,,,,
29371827,7506 Danwood Drive,78759,30.429116,-97.770444,354212.0,-4615,371923,315249,1724,10881,1979.0,,
,893 Quail Ridge Drive,78616,,,,,,,,,,,
2127175407,200 West Anderson Lane,78757,30.345604,-97.705329,272546.0,-2659,351584,209860,1090,,,,
70331916,205 Palazza Alto Drive,78734,30.36316,-97.955654,737430.0,-78815,907039,671061,4035,45838,2016.0,,
58304634,12003 Oakwood Drive,78753,30.38697,-97.675496,338491.0,5374,362185,314797,2176,15042,2001.0,,
,6501 West William Cannon Drive,78735,,,,,,,,,,,
29364236,4408 Commanders Point Drive,78734,30.398584,-97.912235,486228.0,-13873,510539,461917,2535,27007,1995.0,,
29343015,4501 Edgemont Drive,78731,30.32465,-97.766093,786741.0,829,826078,708067,1852,14235,1956.0,,
29360532,206 Phlox Drive,78734,30.377475,-97.972303,416629.0,1501,437460,395798,2232,13503,1994.0,,
29325822,2729 Regents Park,78746,30.26501,-97.792439,1813982.0,-2070,2013520,1632584,4216,28401,1996.0,06/12/2017,1723000
,11112 Claro Vista Ct,78737,,,,,,,,,,,
89546026,12101 New Sweden Church Road,78653,30.398445,-97.503297,,,,,1276,3661436,1944.0,,
144250999,7620 Decker Lane,78724,30.302439,-97.62452,,,,,,334889,,,
,2319 TX 21,78616,,,,,,,,,,,
,2430 Cromwell Circle,78741,,,,,,,,,,,
,2020 Barton Springs Road,78746,,,,,,,,,,,
,4576 Christopher Drive,78746,,,,,,,,,,,
,12042 Bittern Hollow,78758,,,,,,,,,,,
,13741 Suncrest Road,78653,,,,,,,,,,,
29394428,3112 Dancy Street,78722,30.288565,-97.720935,476458.0,-5883,514575,443106,1821,6996,1949.0,,
,2418 Scenic Drive,78703,,,,,,,,,,,
,15309 Richards Drive,78617,,,,,,,,,,,
29495226,2610 Aylesbury Lane,78745,30.199079,-97.820617,349666.0,9638,367149,321693,1596,7514,1983.0,,
29329574,11204 Solitary Fawn Trail,78735,30.297478,-97.91718,995416.0,34338,1085003,806287,5095,54450,2001.0,07/18/2018,
,4291 Turnersville Road,78610,,,,,,,,,,,
,13317 Pearce Lane,78617,,,,,,,,,,,
88021842,411 Autum Bend Lane,78613,30.493213,-97.821017,442686.0,3059,464820,420552,3639,,2010.0,,
29489448,5501 Humming Bird Lane,78745,30.20806,-97.777807,284322.0,15263,315597,258733,868,21122,1941.0,,
58306308,12022 Scribe Drive,78759,30.415277,-97.716816,321438.0,1489,337510,305366,1532,7392,1979.0,,
29359275,10406 Treasure Island Drive,78730,30.375849,-97.852085,498784.0,-1344,523723,473845,3220,10729,1993.0,,
29358952,7103 Anaqua Drive,78750,30.376937,-97.798943,491604.0,-5080,516184,467024,2430,10019,1985.0,,
,708 East 8th Street,78767,,,,,,,,,,,
